text,sentiment
"This movie is so bad, it can only be compared to the all-time worst ""comedy"": Police Academy 7. No laughs throughout the movie. Do something worthwhile, anything really. Just don't waste your time on this garbage.",neg
"You have to figure that when the star's name is listed wrong in the opening credits, you are not in for a good time (the credit reads ""Cuba Gooding, J.R.""). Some nice car chase, shoot 'em up, blow 'em up action if ALL you want is action, because the relationship to what plot exists is tenuous at best, and completely unbelievable. The motivations of the characters, especially that of Gooding's at the end, are worse then unbelievable, they are irrational when they are not hopelessly muddled. All I can think is that Andy Cheng must be a really nice guy to get this many good actors into this foul a project (he can't have something on all of them, can he?).",neg
"Why in the world would someone make this piece of trash movie? The first two Zombie Bloodbath movies were stupid enough, but this takes the cake for the worst of the trilogy (Perhaps of all time). Todd Sheets is still the director, but no longer the screenwriter, which isn't a negative or a positive, considering he's just as untalented as the guy who wrote this one. The writing is too heavily reliant on the f-word, which is used somewhere between 200 and 300 times at nausea. The acting is about on par with the last two Bloodbath movies, so naturally, it's some of the worst I've ever seen. The special effects are better than the last 2, but they still look godawful. The plot has become too complicated for it's own good, and was about some government experiment gone wrong and zombies being produced. Also featured is cryogenically frozen mutant zombie and school kids that know how to time travel, leading to one of the most idiotic endings I've ever seen. After the movie it goes to outtakes, which is strange because this whole movie is an outtake. Only see this to make fun of it, because if you go into this with a serious mind, you might possibly kill yourself.<br /><br />My rating: BOMB/****. 95 mins.",neg
"I first watched the Walking Tall movies when I was about 8 years old and I thought both Joe Don Baker and Bo Svenson did a great job, they must have anyway because since watching the movies, I have tried to learn as much about the real Sheriff Buford Pusser as I can. All 3 parts of the movie gave me chills and Buford Pusser was a true hero, I only wish he were alive today and that there were more people like him. I would love to thank him for getting rid of all the crime and being so brave. I am very sorry that his family had to go through such horror and pain. My heart goes out to them. So from a 30 year old fan of Sheriff Pusser and of the 3-part Walking Tall movies and the actors that portrayed him, please do not be negative about these movies and actors, they were only trying to let us know what a wonderful man the real Buford Pusser was and what a great family he had. And to all the young people who may have not heard much about Buford, I suggest you watch the Walking Tall movies and learn more about him.",pos
"Maximally manipulative Anabel Sims (Betsy Drake) sets out to trap her ideal man, aided by her co-worker, Julie. Esteemed pediatrician Madison Brown (Cary Grant) goes from bemused to betrothed in the space of 90 minutes on film, but to the viewer it's all eternity. Can a movie receive less than one star? This one is a prime candidate.",neg
"""GEORGE LOPEZ,"" in my opinion, is an absolute ABC classic! I haven't seen every episode, but I still enjoy it. There are many episodes that I enjoyed. One of them was where Amy (Sandra Bullock) walked into a moving piece of machinery. If you want to know why, you'll have to have seen it for yourself. Before I wrap this up, I'd like to say that everyone always gave a good performance, the production design was spectacular, the costumes were well-designed, and the writing was always very strong. In conclusion, even though new episodes can currently be seen, I strongly recommend you catch it just in case it goes off the air for good.",pos
"This independent, B&W, DV feature consistently shocks, amazes and amuses with it's ability to create the most insane situations and then find humor and interest in them. It's all hilarious and ridiculous stuff, yet as absurd as much of the film should be, there is a heart and a reality here that keeps the film grounded, keeps the entire piece from drifting into complete craziness and therein lies the real message here. This film is about how we all survive in a world gone mad. That seems to be the heart of the film. For as insane and off the wall as things get, Leon, the 30 yr. old paperboy-protagonist, always tries to keep it together. He's like a child forever trying to catch the balloon that is floating away so that everything will work out for the best, so that everyone can have what they want.<br /><br />The acting in the film could have went far over the top but the exceptional cast really keeps the piece cohesive. Van Meter is perhaps the best of the bunch here with a performance that shines through her absurd diseased tics. Just as the characters in the film do, we overlook her sudden outbursts to see the real person underneath. <br /><br />Majkowski is a true genius here. He takes the utmost ridiculous plot twists and keeps them real. It is his script and his cast that help keep the whole thing afloat. It's a true testament to the skill of Majkowski and all involved that this film, with it's grating plot and characters, never once works our nerves. Majkowski has taken a film that could have been abrasive and repugnant, and somehow given it heart and humor. This is a unique film. Not to be missed. <br /><br />",pos
"How has this piece of crap stayed on TV this long? It's terrible. It makes me want to shoot someone. It's so fake that it is actually worse than a 1940s sci-fi movie. I'd rather have a stroke than watch this nonsense. I remember watching it when it first came out. I thought, hey this could be interesting, then I found out how absolutely, insanely, ridiculously stupid it really was. It was so bad that I actually took out my pocket knife and stuck my hand to the table.<br /><br />Please people, stop watching this and all other reality shows, they're the trash that is jamming the networks and canceling quality programming that requires some thought to create.",neg
"Ohhh the brutality, ohhhhh the dying breed, ohhhh the sense of loss, ohhhh the prejudice! Jeez, when are all you whiney revisionists going to stop analyzing Westerns for crying out loud? S**t happens. If it offends your socially engineered sensibilities then go back to the comfort of your Meryl Steep collection.<br /><br />Boring, tedious, and very tiresome waste of celluloid-particularly in light of Coburn/Hackman/Bergen's presence. Nothing interesting or intriguing here, unless you are obsessed with 19th century desert dentisty. May have been a little better without the constant diversion of the out-of-place mexican guy with the bad tooth. A monument to the stupid ultra-left creeping sensitivity of the 60/70's. Virtually impossible to sit through the entire film. I think I'd rather have my eyes stapled open for the entire Lucky Luke/Trinity series. 4 Horses/10-all deader'n hell.",neg
"Criminals Perry Smith and Richard ""Dick"" Hickock believe Mr. Clutter of Holcomb, Kansas keeps a large supply of cash on-hand in a safe.On November 15, 1959 at two a.m. they end up murdering Mr. and Mrs. Clutter and their teenage son and daughter.After a little police investigation the two men are found and sentenced to be hanged.In Cold Blood (1967) is directed by Richard Brooks.Now, I haven't read the Truman Capote novel this movie is based on, so I can't make any comparisons.The movie does a brilliant job telling of those horrific events that actually took place.Robert Blake is excellent as Perry.Of course, Blake had the murder case of his own a few years back, being accused of murdering his wife.He's free now, but we still don't know the truth.What ever that may be, he's still a very fine actor.Scott Wilson does remarkable job as Hickock.John Forsythe is terrific as Alvin Dewey.Paul Stewart is very good as Jensen.Jeff Corey is marvelous as Mr. Hickock.Same thing with Charles McGraw who plays Tex Smith.John McLiam portrays Herbert Clutter, Ruth Storey is his wife Bonnie, Brenda Currin is the daughter Nancy and Paul Hough is the son Kenyon.Great job by each of them.There is much to remember from this film.Let's start from the lighter side.It's pretty great when Perry wants to go hunting for gold in Mexico and says to Hickock: Remember Bogart in Treasure of the Sierra Madre?"" And Blake himself was in that movie as a boy! And it's a fun moment when they, giving a ride to that boy and his granddad, collect bottles and turn them in for refund money.Those darker moments are the most haunting ones.The flashback sequence, where you see the murders happening, is extremely terrifying.When Perry goes to kill the girl, Nancy last, and she says ""Oh, please, don't""...The brutality of man, it's impossible to explain.Then the hanging scene.First there goes Hickock and then Perry, first talking to the minister.In the last image of the movie we see Perry hitting the end of the rope.Sure movies,and books may try to sympathize these villains.Especially Perry's character is someone you could feel sorry for.He thinks of his mom, and dad who he hates, but still loves.But it doesn't change the fact both of these men these actors portray are brutal murderers, who don't feel sorry for anybody.They go to this house and murder an entire family, in cold blood.How could you sympathize these people?",pos
"Horrible. I see many user comments on how great this show is. It truly is a Wanna-Be-Friends - Made in Taiwan knockoff. The jokes are lame as...and the plot is ridiculous. The actors are obviously struggling to be funny and are probably cringing when they hit those awful punchlines (if you can call them that). The bulk of the other users who have commented are obviously from another planet (or at least another continent). There are obviously reasons that TV companies cancel shows...and none of then are when shows are doing well. Make sense? Anyway, steer clear - even if it is raining and there is absolutely nothing else on this planet to do...go stand in the rain instead - more fun.",neg
"A youth gets a bad hair day, goes out on a hill, and falls into where he can't escape. Then, he meets MR. ATLAS, a ""mythological"" dude from 2,000 years ago as his very best friend, and an Arnold Schwarzenegger look-and-sound-alike. His Herculean strength helps the boy out of danger, and later adjusts to modern life. So what's the big deal? This is the lousiest idea for a ""family"" outing! Either way, this one shouldn't have been attempted at all, really! Our fictional character of might and brawn is nothing more than a typical stranger who appears ordinary to the rest of the universe. To add to the blasphemy is the lack of anything new or appealing, and before you know it, there is some attempted violence that doesn't qualify this as ""family"" entertainment. The scene where Atlas complains of his undershorts is gaggling, though. Just spend a nice, quiet afternoon in the park for a change.",neg
"Initially, I would have thought that Secret Sunshine had something critical to say of religion (and here being Christianity), and wondered if it would be something of a rant against the ills of blind faith, or the manipulative power of those who are supposedly holier than thou. Surprisingly, it was none of the sort and was largely non-judgemental, putting in place events as a matter of fact, and allowing the audience to draw their own judgement and conclusion.<br /><br />And I can't help but to chuckle at the role of Song Kang-ho, a man who's taken a liking for widower Shin-ae (Jeong Do-yeon), and starts going to church when she does. The reasons for church going are many I suppose, either to find inner peace, to seek help, being afraid of eternal damnation in the fires of Hell, to reaffirm faith, or even things like wanting to get married in a church, or to skirt chase (I kid you not). But to each his own reasons for turning up in church every Sunday and participating in prayer groups for fellowship, what is indeed dangerous, is when the underlying ulterior motives, do not get satisfied, and that's when frustration sets in. Or when you discover how hypocritical man can be, portraying one face inside the house of God, and displaying yet another outside.<br /><br />Shin-ae and her son Jun moves to the town of Miryang, which is the birthplace of her deceased husband. Wanting to start life anew, she opens up a piano shop to give lessons, though in discovering her new found freedom and in a moment's lack of good judgement, has another tragedy befall her. And that takes one hour to get to. Secret Sunshine really took its time to get to this point, where things then begin to get slightly more interesting with Shin-ae now taking to embracing religion to deal with and accept her current state, reveling in the comfort that religion, and fellow believers, can offer.<br /><br />What began as crying out for sympathy turns into acceptance and belief that religion offers that silver bullet to solve the ills of all mankind, and sometimes you wonder if it's because of your personal myopic view of what the almighty is doing for you, that you begin to adopt a somewhat selfish opinion that everything's good going your way, and in Shin-ae's case, her magnanimous attitude in wanting to forgive others who had trespassed against her, forgetting something very fundamental that it the feeling can cut both ways too.<br /><br />The last act is probably the most fun of the lot as it says plenty, where most of us can identify with - why me, and why not someone else, as we rage against our faith and start questioning, unfortunately, with no hard and fast answers available. It is then either we fall by the wayside, or continue with destructive deeds so rebelliously. But somehow the plug gets carefully pulled in Secret Sunshine so as not to offend, and what could have been an ugly character mouthpiece, got muted.<br /><br />If you bite into the hype this movie is generating, then perhaps you'll realize only Jeong Do- yeon's excellent portrayal is worth mentioning, as she totally owns her role as the widow Shin-ae who is probably the most unluckiest person on Earth in having to deal with that many tragedies over a short period of time, and if you look at it carefully, most of which are of her own doing. Watching her transformation, is worth the ticket price, and despite having my personal favourite Korean actor Song Kang-ho in the movie, this is something he just breezed right through.",pos
"Dane tries to hard and is to extreme with all of his yelling and going crazy, spilling water on himself and rolling on the floor. To much. Calm down, get yourself together and make us laugh. I didn't quite understand his comparison toward comics and rock stars. Just because there both up on stage or something? He said that every comedian wants to be a rock star. I'm sure Rodney Dangerfield was really into that when he was alive. He had a few good jokes like the Burger King joke where people yell at the drive thru. I also liked the Reese's Pieces joke. If Dane just didn't act so mental he might be funnier and I might have given this a higher rating, as high as maybe an eight.",neg
"I have seen the recent Region 2 DVD of this movie displayed in the ""horror"" section in an Oxford Street store and also advertised as a ""classic thriller"". In reality it is almost solely a vehicle for Arthur Askey, one of the most popular names in British comedy and light entertainment for over four decades.<br /><br />Perhaps his incessantly cheerful, exuberant and essentially good-natured humour comes as a bit of a culture shock to many accustomed to the sour and cynical flavour of much British comedy of the past twenty five years. However there are still those who appreciate his lively and cheery persona and total avoidance of pathos. Askey was an idol of the great Tommy Cooper who frequently borrowed the ""self-strangulation"" gag that Arthur attempts to entertain the stranded passengers with.<br /><br />There is a striking, rare appearance by the under-rated Linden Travers, who makes an impact as the mysterious Julie.",pos
"The industry dropped the ball on this. The trailer does not do the movie justice and when this opened it was on a hand full of screens. Had people had an opportunity to see this, work of mouth would have made it very successful. The 2 lead actresses each give great emotional performances that really draw you in to the story and especially the characters. I checked this out based on the rave recommendation Richard Roeper or (Ebert and Roeper) in his book. An example of a great film that never got fully released except on a few screens. Which gave it no chance to be seen. Some movies go to video quickly because they aren't that good. This is Oscar worthy and it's a tragedy on many levels that most will never even hear of it. Maybe via word of mouth it will gain a following on DVD or cable. If you haven't see this movie you should. Great performances of the 2 lead actresses make this movie. It could have just been another formulaic teen movie after school special but instead it stands up well to other note worthy films. Girl Interrupted comes to mind. If you like that you will like this. <br /><br />Both girls are in one amazing emotional scene after another without coming off as melodramatic. Even though Alicia is angry and Deanna is crying through most of the movie it is done is such a real way that they do not come off as stereotypical characters or as melodramatic. The movie will move you in many scenes and if you are an aspiring actor use these real performances as your school. Erica is even better in this than in Traffic. I hope both of these actors get more roles that utilize their talents as well and let them shine. See this movie and if you like, recommend to friends so it doesn't get lost among all the blockbuster crap that comes out every year. This movie was buried while Spiderman 2 tops records. What kind of word are we living in? AGHhh. So to make the world right again see this and recommend it.",pos
"A team of archaeologists uncover a real treasure  the Crown of the Queen of Sheeba. From Egypt, the crown is to be transferred via steamship to San Francisco. But it won't be an easy journey. There are plenty of would-be thieves who would love to get their hands on the priceless jewels contained in the crown. Fortunately for all involved, Mr. Moto is on hand to guard the crown on its journey. However, that doesn't mean someone won't try to get their hands on the treasure.<br /><br />After the disappointment of Mr. Moto's Gamble, I went into Mr. Moto Takes a Vacation hoping for the best, but, admittedly, fearing the worst. But within the first 10 seconds of the film, I knew I would find it more enjoyable. I'm a sucker for a 1930s style mystery that features anything to do with archaeological digs in Egypt. And seeing Moto disguised as a German archaeologist (Imagine that, Peter Lorre playing a German?), the beginning scenes really drew me in. While the movie may have quickly shifted to the less exotic San Francisco, it remained just as enjoyable. Dark, sinister characters lurking in the rainy night; gunshots fired from open windows that narrowly miss the hero's head; sophisticated and supposed foolproof alarm systems just begging for someone to test them; and master criminals believed to be dead  these are the kind of elements found in a lot of the really good 1930s mysteries that I love. And Mr. Moto Takes a Vacation's got 'em all. A couple other bonuses for me included the always enjoyable Lionel Atwill in a nice little role, comic relief from G.P. Huntley that's actually funny, and a return to form for Mr. Moto. I've already mentioned his disguise in the movie's opening scenes, well the athletic Moto comes out near the film's finale. Moto is a like a Whirling Dervish of activity as he goes after his prey. All this and I haven't even mentioned the wonderful performance turned in by Lorre. Any way you look at it, Mr. Moto Takes a Vacation is a winner.<br /><br />As much as I hate that the Mr. Moto series had to end after this installment, it's understandable when you think about it. WWII was just around the corner. And after Pearl Harbor, a movie with a Japanese hero wouldn't have gone over very well. At least the Mr. Moto series ended on a very positive note.",pos
"I liked this movies. Its a another Yash raj film which you know will look good on screen, all character are always nice or very nice with one exception who you know will eventually covert to being nice... Another rule of Yash raj's film is that either hero or heroine;s have only one or none parent. Think back to all of those films.. MPK Suman didn't have mom, HMAPK Salman didn't have parents, AND FINAL rule is that you are 90% likely to see Alock Nath crying...<br /><br />The film is good too. Its a bit slow at first but keeps you entertained. There is almost no comedy but it does make you smile often enough. The little kid (hero's nephew) is well placed and deliver very good one liners. The actress is very pretty but shy you wouldn't get that in real life. this film doesn't have massively big happy families living in BIG house which I thou was a good Idea and allowed the film to be differentiated from other films. There will be lots of women crying at the end of the film. There isn't a strong message from this film but its a good watch. If you are married (arranged marriage)the film will remind you of what you went through. And if you are not it will inform and may be scare you ...<br /><br />Overall a very good looking film. No big plots or twists but a very gentle film, very much like Bollywood classic.",pos
"Perhaps the most personal of David Lynch's works is his most accessible. This time, rather than the enigmatic thematic structures that may or may not involve a plot or represent anything more than vivid nightmares, Lynch provides a reflective, fragile meditation on the universal subjects of aging and family and finds reassurance in both. The simple true story of an Iowa farmer (Richard Farnsworth) who rides a lawn mower to Wisconsin to visit his estranged, stricken brother, there are still plenty of the unique and original visual dreamscapes (some rather striking aerial shots of the heartland, filmed by veteran cinematographer Freddy Francis) to make it an undeniable Lynch effort and characterizations that are some of his most unforgettable. Farnsworth is excellent in a stoic yet personable way, allowing the stories he hears on his journey to become a part of his life, and Sissy Spacek turns in some of her finest work in a smaller role as his mentally challenged yet observant daughter (whose painful secret is revealed in a poignant way through a gentle turn in the sensitive script by John Roach and Mary Sweeney) but the rest of the small cast to a person delivers indelible performances, one of the most notable being Barbara Robertson, whose accidental killing of a deer is both uproarious and sad at the same time. But that's vintage Lynch with his ability to engage and unsettle you at his best. To those unfamiliar with Lynch or know him only by his violent, disturbing reputation, this is an excellent place to begin; for those who know his work, this is one of the finest in his repertoire.",pos
"Oh where to begin. The cinematography was great. When the movie first started because of the initial landscape scenes I thought that I was in for a good movie. Then the cgi Bigfoot showed up .It looked like a cartoon drawing of the Lion king and king Kong's love child.It totally took away from the believability of the character.Now I knew there wasn't a Bigfoot chasing people hiking around the woods for no apparent reason but a cheesy cgi cartoon.So from then on the whole movie was shot for me.The money they flushed down the toilet for the cgi they could of spent on a costume like roger Patterson did. His was the best Bigfoot costume ever no one else could match his.I am a hardcore cheesy Bigfoot movie fan and I was warned about this movie but my compulsion led me to watching this movie and I was disappointed like the previous reviews warned me about. I know after you read this review you will still say ""I must watch Sasquatch hunters,must watch Sasquatch hunters."" Then you will say why did I waste my good hard earned money on such a excruciatingly bad boring movie!",neg
"Now for the truth, its very very weak storyline - for a Walt Disney film its total rubbish. When the robinson appear, the films all over the place, I was shocked how poor it was. It like ""alice in wonderland"" gone wrong!. It feels like they were short on ideas some mashed some crazy rubbish together to try and get away with it - and they don't. After that, I sat there wishing for the end. My younger brother lost interest half way through and was confused by the story. The characters are weak and after the robinsons appear you don't care about the ending, you just want the film to finish. Its a film to forget, and forget quickly. If you've got some spare time, don't waste it on this.",neg
"Being a huge fan of the Japanese singers Gackt and Hyde, I was terribly excited when I found out that they had made a film together and made it my mission in life to see it. I was not disappointed. In fact, this film greatly exceeded my expectations. Knowing that both Gackt and Hyde are singers rather than actors, I was prepared for brave yet not really that fulfilling performances, but am delighted to say that both of them managed to keep me captivated and believing the story as it went on. Moon Child has just the right amount of humour, action, romance and serious, heart-wrenching moments. I can't say that I've ever cried more at a film and these more tender moments are admirably acted by the pair, in my opinion, definitely proving their skills as actors. The fight scenes are absolutely stunning and although there are a few moments of uncertainty to begin with, you are quick to get into the movie and begin to bond with the characters. I thoroughly recommend this film to anyone, especially those who are fans of Gackt and Hyde.",pos
"If you're a fan of Gothic horror, then you're definitely absolutely guaranteed to LOVE this wondrous Italian 60's film ""Castle of Blood"". We're really talking about creepily creaking doors, eerie portraits that appear to be moving, spontaneously dying candles although there's no wind and smoke coming from underneath heavy wooden chamber doors. Speaking in terms of atmosphere and style, this masterful piece of Gothic film-making is one of the best out there; just one tiny league below landmarks such as ""Black Sunday"", ""The Three Faces of Fear"" and ""Curse of the Crying Woman"". The prominent directors duo Sergio Corbucci (""The Great Silence"", ""Django"") and Antonio Margheriti (""Cannibal Apocalypse"", ""Killer Fish"") are successful in all areas, including a powerful plot (one that is genuinely nightmare inducing), ultra-sinister scenery and filming locations, stylish black and white photography, spine-chilling music and a brilliant gathering of talented performers. Barbara Steele, starlet of the aforementioned ""Black Sunday"" and Italian goth-muse number one, shines brightly again as a spiritually tormented character and she's literally surrounded by excellent co-players. One of them, Silvano Tranquilli, even gives away a fairly credential depiction of author Edgar Allan Poe. The story involves him and another wealthy visitor of a countryside tavern challenging a brutal young journalist to accept a morbid wager. If he  Alan Foster  would survive spending one night in the infamous Blackwood Castle, he receives the astonishing reward of $10 and a newspaper interview with Poe. Needless to say the ordeal is much more dangerous than it sounds, even for somebody like Alan Foster who's a firm non-believer in ghosts and vampires. The night starts out great for him, as he even meets up with the stunningly beautiful woman of his dreams, but gradually he learns that Blackwood Castle is a hellish place where the ghosts of the previously deceased visitors are trapped for all eternity. I don't know about you, but this is seriously one of my favorite horror movie premises of all time. Co-director Antonio Margheriti clearly was proud of this film as well, because he remade it himself a couple of years later as ""Web of the Spider"". That movie had a handful of trumps, like for example the casting of no less than Klaus Kinski in the role of Edgar Allan Poe, but in general this original is vastly superior. ""Castle of Blood"" literally oozes with atmosphere and maintains a thoroughly unsettling ambiance throughout. This truly is one of the rare films that can make the hair on your arms and back of the neck rise with fear if you watch it in the right circumstances. Watch it late at night, preferably alone and in a candle lit room, and you'll get an idea about the true definition of horror.",pos
This movie stinks. The stench resembles bad cowpies that sat in the sun too long. I can't believe that so many talented actors wasted their time making such a hopelessly awful film. Whew!,neg
"Great western I hear you all say! Brilliant first effort! Well I'm not sure what film you all watched but it must have been a different one to the one I saw. Great westerns or indeed good films of any genre have characters you can believe in and this film had none! The acting was poor to say the least and I couldn't care less about any of the characters, making the whole film pointless. the story was too big for the makers and perhaps they should try their hand at making straight to TV low budget rubbish like you see on those ""FACT OR FICTION"" programmes on sci-fi.<br /><br />Please, if you are looking for a good film, a great western or even just an enjoyable hour and a half, please look elsewhere.",neg
